Year,Month,Day,TSU,EQ,Latitude,Longitude,VEI,DEATHS
1958,7,21,,,43.68,142.88,,2
1958,10,7,TSU,,-16.829,168.536,2,
1960,5,25,TSU,EQ,-40.59,-72.117,3,
1961,1,25,,,-41.326,-72.614,3,
1961,4,23,,,36.57,137.6,,1
1961,5,8,,,-7.542,110.442,3,6
1961,6,18,,,43.68,142.88,,2
1961,8,18,,,36.4,138.53,2,1
1962,6,29,,,43.42,142.68,3,5
1962,10,,,,-7.542,110.442,,2
1962,12,31,,,0.8,127.325,2,5
1963,3,17,,,9.979,-83.852,3,15
1963,3,18,TSU,,-8.342,115.508,5,1028
1963,5,5,,,-8.108,112.92,2,1
1963,5,16,,EQ,-8.342,115.508,3,120
1963,5,21,,,-39.42,-71.93,2,
1963,9,5,,,-8.242,115.375,2,2
1963,9,28,,,14.473,-90.88,3,7
1963,12,10,,,9.979,-83.852,3,40
1964,1,1,,,-8.32,121.708,2,1
1964,3,3,,,-39.42,-71.93,2,25
1964,12,13,,,-7.2,109.92,1,114
1965,9,28,TSU,,14.002,120.993,4,355
1965,10,24,TSU,,12.3,-61.63,0,
1966,1,13,TSU,,-10.38,165.8,3,
1966,4,26,,,-7.93,112.308,4,215
1966,8,12,,,3.67,125.5,4,39
1966,8,14,,,-2.751,35.902,4,
1967,7,8,,,-2.751,35.902,3,
1967,8,31,,,-8.108,112.92,3,3
1967,12,4,TSU,,-62.97,-60.65,3,
1968,4,21,,,13.257,123.685,3,6
1968,7,29,,,10.463,-84.703,3,80
1969,1,7,,,-7.542,110.442,2,3
1969,1,28,,,-8.88,121.63,3,2
1969,3,21,TSU,,19.077,122.202,2,
1969,8,26,,,38.73,140.73,,1
1970,3,2,,,40.827,14.139,,3
1970,5,5,,,63.98,-19.7,3,
1971,8,12,,,-45.9,-72.97,3,5
1971,9,6,TSU,,-10.38,165.8,2,
1971,9,14,,,14.473,-90.88,3,10
1971,10,26,,,28.58,-17.83,2,
1971,10,29,,,-39.42,-71.93,2,15
1971,12,27,,,36.62,138.55,,6
1972,6,9,,,-21.229,55.713,2,3
1972,10,2,,,35.22,139.02,,2
1972,10,9,TSU,,-5.52,148.121,1,
1973,1,27,,,63.43,-20.28,3,1
1973,1,,,,-8.32,121.708,3,
1973,4,5,,,-45.9,-72.97,,2
1973,12,5,,,-8.54,123.59,2,2
1974,2,11,,,2.78,125.48,3,4
1974,6,17,,,31.58,130.67,3,3
1974,7,28,,,36.92,138.03,2,3
1974,8,9,,,31.58,130.67,3,5
1974,10,10,,,14.473,-90.88,4,
1974,10,17,TSU,,-5.52,148.121,1,
1974,10,22,,,-7.542,110.442,2,9
1975,1,,,,-0.381,100.473,2,80
1975,6,17,,,10.463,-84.703,3,2
1975,11,29,TSU,EQ,19.425,-155.292,0,
1976,8,3,,,36.62,138.55,,3
1976,8,12,,,-2.03,-78.33,3,2
1976,8,31,,,-8.108,112.92,2,119
1976,9,15,,,2.78,125.48,2,1
1976,11,25,,,-7.542,110.442,2,29
1977,1,10,,,-1.52,29.25,1,
1977,4,5,,,-11.75,43.38,0,
1977,4,27,,,65.73,-16.78,1,
1977,8,2,,,56.057,160.638,3,1
1977,8,7,,,42.53,140.83,3,3
1978,1,13,,,42.53,140.83,3,3
1978,7,29,,,12.77,124.05,2,
1978,9,2,,,14.756,-91.552,3,1
1978,9,19,,,-8.108,112.92,3,12
1978,,,,,-6.77,107.6,,3
1979,2,20,,,-7.2,109.92,1,149
1979,3,8,,,-4.649,145.964,2,2
1979,4,13,,,13.33,-61.18,3,2
1979,7,5,,,37.734,15.004,2,9
1979,7,18,TSU,,-8.54,123.59,,
1979,9,6,,,32.88,131.1,2,3
1980,5,18,TSU,EQ,46.2,-122.18,5,57
1980,8,17,,,63.98,-19.7,3,
1980,12,25,,,45.374,-121.694,,1
1981,3,17,,,37.734,15.004,2,
1981,3,29,,,-8.108,112.92,3,1
1981,4,27,,,50.858,155.55,2,
1981,5,14,,,-8.108,112.92,3,372
1981,6,30,,,13.257,123.685,,200
1981,9,5,,,-8.32,121.708,2,
1981,,,,,52.68,158.3,,
1982,3,29,,EQ,17.36,-93.228,5,1879
