Name,Location,Country,Latitude,Longitude,Elevation,Type,Status,Time
Redoubt,Alaska-SW,United States,60.48,-152.75,3108,Stratovolcano,Historical,D1
Reventador,Ecuador,Ecuador,-0.078,-77.656,3562,Stratovolcano,Historical,D1
Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,Historical,D1
Ritter Island,New Guinea-NE of,Papua New Guinea,-5.52,148.121,140,Stratovolcano,Historical,D1
Ruang,Sangihe Is-Indonesia,Indonesia,2.28,125.425,725,Stratovolcano,Historical,D2
Ruapehu,New Zealand,New Zealand,-39.28,175.57,2797,Stratovolcano,Historical,D1
Ruiz,Colombia,Colombia,4.895,-75.322,5321,Stratovolcano,Historical,D1
Sabancaya,Peru,Peru,-15.78,-71.85,5967,Stratovolcano,Historical,D1
Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,Historical,D1
Salak,Java,Indonesia,-6.72,106.73,2211,Stratovolcano,Historical,D2
San Cristobal,Nicaragua,Nicaragua,12.702,-87.004,1745,Stratovolcano,Historical,D1
San Jorge,Azores,Portugal,38.65,-28.08,1053,Fissure vent,Historical,D2
San Salvador,El Salvador,El Salvador,13.736,-89.286,1893,Stratovolcano,Historical,D2
Sangay,Ecuador,Ecuador,-2.03,-78.33,5230,Stratovolcano,Historical,D1
Santa Ana,El Salvador,El Salvador,13.853,-89.63,2365,Stratovolcano,Historical,D2
Santa Maria,Guatemala,Guatemala,14.756,-91.552,3772,Stratovolcano,Historical,D1
Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,Historical,D2
Sarigan,Mariana Is-C Pacific,United States,16.708,145.78,538,Stratovolcano,Holocene,U
Sarychev Peak,Kuril Is,Russia,48.092,153.2,1496,Stratovolcano,Historical,D1
Savai'i,Samoa-SW Pacific,Samoa,-13.612,-172.525,1858,Shield volcano,Historical,D2
Savo,Solomon Is-SW Pacifi,Solomon Is.,-9.13,159.82,510,Stratovolcano,Historical,D3
Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,Historical,D1
Serua,Banda Sea,Pacific Ocean,-6.3,130,641,Stratovolcano,Historical,D2
Shikotsu,Hokkaido-Japan,Japan,42.7,141.33,1320,Caldera,Historical,D1
Shishaldin,Aleutian Is,United States,54.75,-163.97,2857,Stratovolcano,Historical,D1
Shiveluch,Kamchatka,Russia,56.653,161.36,3283,Stratovolcano,Historical,D1
Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene,U
Sinarka,Kuril Is,Russia,48.875,154.175,934,Stratovolcano,Historical,D3
Sirung,Lesser Sunda Is,Indonesia,-8.51,124.148,862,Complex volcano,Historical,D1
Soputan,Sulawesi-Indonesia,Indonesia,1.108,124.725,1784,Stratovolcano,Historical,D1
Sorikmarapi,Sumatra,Indonesia,0.686,99.539,2145,Stratovolcano,Historical,D1
Soufriere Guadeloupe,W Indies,Guadeloupe,16.05,-61.67,1467,Stratovolcano,Historical,D1
Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,Historical,D1
Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,Historical,D1
Spurr,Alaska-SW,United States,61.3,-152.25,3374,Stratovolcano,Historical,D1
St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38,147.35,270,Complex volcano,Historical,D2
St. Helens,US-Washington,United States,46.2,-122.18,2549,Stratovolcano,Historical,D1
Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,Historical,D1
Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,Historical,D1
"Tair, Jebel at",Red Sea,Yemen,15.7,41.742,244,Stratovolcano,Historical,D3
Tambora,Lesser Sunda Is,Indonesia,-8.25,118,2850,Stratovolcano,Historical,D1
Tangkubanparahu,Java,Indonesia,-6.77,107.6,2084,Stratovolcano,Historical,D1
Tate-yama,Honshu-Japan,Japan,36.57,137.6,2621,Stratovolcano,Historical,D3
Taupo,New Zealand,New Zealand,-38.82,176,760,Caldera,Radiocarbon,D6
Tenerife,Canary Is,Spain,28.271,-16.641,3715,Stratovolcano,Historical,D2
Tengchong,China-S,China,25.32,98.47,2865,Pyroclastic cone,Historical,D5
Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,Historical,D1
Teon,Banda Sea,Pacific Ocean,-6.92,129.125,655,Stratovolcano,Historical,D2
Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.8,851,Stratovolcano,Historical,D1
Tofua,Tonga-SW Pacific,Tonga,-19.75,-175.07,512,Caldera,Historical,D2
Tokachi,Hokkaido-Japan,Japan,43.42,142.68,2077,Stratovolcano,Historical,D1
Tolbachik,Kamchatka,Russia,55.83,160.33,3682,Shield volcano,Historical,D1
Tori-shima,Izu Is-Japan,Japan,30.48,140.32,403,Stratovolcano,Historical,D1
Tseax River Cone,Canada,Canada,55.12,-128.9,609,Pyroclastic cone,Radiocarbon,D4
Tullu Moje,Africa-NE,Ethiopia,8.158,39.13,2349,Pumice cone,Anthropology,D2
Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1
Ubinas,Peru,Peru,-16.355,-70.903,5672,Stratovolcano,Historical,D1
Umboi,New Guinea-NE of,Papua New Guinea,-5.589,147.875,1548,Complex volcano,Holocene,U
Unnamed,Chile-Is,Chile,-33.62,-76.83,-642,Submarine volcano,Uncertain,Unknown
Unnamed,Taiwan-E of,Taiwan,24,121.83,0,Submarine volcano,Historical,D3
Unnamed,Tonga-SW Pacific,Tonga,-21.38,-175.65,-500,Submarine volcano,Historical,D2
Unzen,Kyushu-Japan,Japan,32.75,130.3,1500,Complex volcano,Historical,D1
Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,Historical,D1
"Uwayrid, Harrat",Arabia-W,Saudi Arabia,27.08,37.25,1900,Volcanic field,Anthropology,D6
Veniaminof,Alaska Peninsula,United States,56.17,-159.38,2507,Stratovolcano,Historical,D1
Vestmannaeyjar,Iceland-S,Iceland,63.43,-20.28,279,Submarine volcano,Historical,D1
Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,Historical,D2
Victory,New Guinea,Papua New Guinea,-9.2,149.07,1925,Stratovolcano,Historical,D2
Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,Historical,D1
Vilyuchik,Kamchatka,Russia,52.68,158.3,2173,Stratovolcano,Tephrochronology,D7
Vsevidof,Aleutian Is,United States,53.13,-168.68,2149,Stratovolcano,Historical,D3
Westdahl,Aleutian Is,United States,54.52,-164.65,1654,Stratovolcano,Historical,D1
White Island,New Zealand,New Zealand,-37.52,177.18,321,Stratovolcano,Historical,D1
Wurlali,Banda Sea,Indonesia,-7.125,128.675,868,Stratovolcano,Historical,D3
Yake-dake,Honshu-Japan,Japan,36.22,137.58,2455,Stratovolcano,Historical,D1
Yasur,Vanuatu-SW Pacific,Vanuatu,-19.52,169.425,361,Stratovolcano,Historical,D1
Yellowstone,US-Wyoming,United States,44.43,-110.67,2805,Caldera,Tephrochronology,D7
Zao,Honshu-Japan,Japan,38.15,140.45,1841,Complex volcano,Historical,D2
Zukur,Red Sea,Yemen,14.02,42.75,624,Shield volcano,Holocene,U
